6_12,6_20,6_30,6_75,12_20,12_30,12_75,20_30,20_75,30_75,6_12_car,6_20_car,6_30_car,6_75_car,12_20_car,12_30_car,12_75_car,20_30_car,20_75_car,30_75_car
ch10_75Hz,ch4_75Hz,ch12_12Hz,ch6_75Hz,ch9_36Hz,ch7_36Hz,ch6_225Hz,ch5_150Hz,ch9_225Hz,ch9_18Hz,ch6_20Hz,ch6_24Hz,ch10_225Hz,ch4_30Hz,ch2_6Hz,ch6_225Hz,ch10_225Hz,ch0_30Hz,ch12_30Hz,ch0_24Hz
ch13_18Hz,ch6_150Hz,ch5_36Hz,ch4_36Hz,ch5_36Hz,ch13_40Hz,ch9_75Hz,ch12_40Hz,ch5_60Hz,ch9_6Hz,ch13_75Hz,ch9_18Hz,ch10_24Hz,ch0_20Hz,ch13_20Hz,ch10_24Hz,ch5_75Hz,ch3_90Hz,ch13_225Hz,ch9_24Hz
ch5_60Hz,ch13_6Hz,ch11_24Hz,ch4_30Hz,ch14_20Hz,ch11_36Hz,ch4_225Hz,ch1_90Hz,ch13_18Hz,ch2_30Hz,ch13_150Hz,ch6_150Hz,ch2_6Hz,ch0_24Hz,ch9_18Hz,ch10_18Hz,ch15_75Hz,ch11_18Hz,ch0_30Hz,ch14_20Hz
ch7_75Hz,ch5_20Hz,ch3_36Hz,ch5_36Hz,ch15_24Hz,ch6_24Hz,ch1_90Hz,ch11_225Hz,ch6_6Hz,ch11_18Hz,ch3_90Hz,ch10_36Hz,ch5_225Hz,ch3_30Hz,ch10_30Hz,ch4_75Hz,ch6_18Hz,ch4_20Hz,ch13_75Hz,ch9_150Hz
ch13_12Hz,ch6_60Hz,ch10_75Hz,ch15_24Hz,ch13_225Hz,ch11_18Hz,ch5_6Hz,ch2_6Hz,ch9_18Hz,ch7_75Hz,ch13_90Hz,ch14_36Hz,ch0_75Hz,ch12_36Hz,ch11_24Hz,ch0_75Hz,ch12_225Hz,ch3_150Hz,ch4_150Hz,ch8_12Hz
ch4_36Hz,ch0_36Hz,ch0_36Hz,ch4_24Hz,ch11_6Hz,ch6_90Hz,ch15_12Hz,ch6_60Hz,ch11_18Hz,ch8_40Hz,ch4_150Hz,ch6_225Hz,ch6_150Hz,ch12_60Hz,ch6_225Hz,ch3_225Hz,ch11_40Hz,ch15_36Hz,ch3_60Hz,ch0_18Hz
ch10_36Hz,ch3_90Hz,ch6_75Hz,ch5_24Hz,ch4_36Hz,ch9_90Hz,ch6_36Hz,ch9_12Hz,ch7_18Hz,ch12_75Hz,ch7_36Hz,ch3_60Hz,ch5_75Hz,ch9_24Hz,ch11_75Hz,ch6_75Hz,ch12_24Hz,ch15_40Hz,ch12_225Hz,ch4_24Hz
ch5_75Hz,ch0_90Hz,ch13_24Hz,ch12_40Hz,ch14_36Hz,ch14_24Hz,ch14_60Hz,ch5_30Hz,ch4_20Hz,ch5_6Hz,ch8_75Hz,ch14_20Hz,ch3_90Hz,ch10_225Hz,ch1_18Hz,ch4_24Hz,ch1_225Hz,ch2_30Hz,ch7_12Hz,ch2_36Hz
ch12_75Hz,ch10_12Hz,ch6_225Hz,ch11_40Hz,ch5_150Hz,ch14_6Hz,ch11_60Hz,ch8_30Hz,ch6_24Hz,ch12_36Hz,ch0_18Hz,ch12_75Hz,ch5_36Hz,ch14_36Hz,ch12_75Hz,ch10_75Hz,ch9_24Hz,ch14_36Hz,ch7_18Hz,ch9_12Hz
ch9_36Hz,ch12_12Hz,ch9_36Hz,ch1_60Hz,ch3_150Hz,ch2_18Hz,ch7_18Hz,ch0_18Hz,ch11_60Hz,ch5_90Hz,ch3_75Hz,ch0_150Hz,ch10_36Hz,ch2_40Hz,ch10_24Hz,ch14_75Hz,ch1_150Hz,ch6_40Hz,ch10_24Hz,ch11_225Hz
